,name,categories,address,cc,city,country,crossStreet,distance,formattedAddress,labeledLatLngs,lat,lng,neighborhood,postalCode,state,id,Restaurant,entry
0,Junior's Restaurant & Bakery,American Restaurant,1515 Broadway,US,New York,United States,at W 45th St,93,"['1515 Broadway (at W 45th St)', 'New York, NY 10036', 'United States']","[{'label': 'display', 'lat': 40.758349343546215, 'lng': -73.98651265011574}]",40.758349343546215,-73.98651265011574,Theater District,10036,NY,462a6065f964a520d9451fe3,True,1
1,Carmineâ€™s Italian Restaurant,Italian Restaurant,200 W 44th St,US,New York,United States,btwn Broadway & 8th Ave,121,"['200 W 44th St (btwn Broadway & 8th Ave)', 'New York, NY 10036', 'United States']","[{'label': 'display', 'lat': 40.7574973, 'lng': -73.9867788}]",40.7574973,-73.9867788,,10036,NY,3fd66200f964a5209ee81ee3,True,2
3,The View Restaurant & Lounge,Restaurant,1535 Broadway,US,New York,United States,47th & 48th Fl,101,"['1535 Broadway (47th & 48th Fl)', 'New York, NY 10036', 'United States']","[{'label': 'display', 'lat': 40.75869, 'lng': -73.986285}]",40.75869,-73.986285,,10036,NY,3fd66200f964a520bfea1ee3,True,3
6,"The Round Table Restaurant, at The Algonquin",American Restaurant,59 W 44th St,US,New York,United States,Between 5th and 6th Avenues,327,"['59 W 44th St (Between 5th and 6th Avenues)', 'New York, NY 10036', 'United States']","[{'label': 'display', 'lat': 40.756032142227404, 'lng': -73.98261264194522}]",40.756032142227404,-73.98261264194522,,10036,NY,4b8c20f0f964a520a9bf32e3,True,4
7,Utsav Restaurant,Indian Restaurant,1185 Avenue of the Americas,US,New York,United States,,238,"['1185 Avenue of the Americas', 'New York, NY 10036', 'United States']","[{'label': 'display', 'lat': 40.75795808478293, 'lng': -73.98266951797001}]",40.75795808478293,-73.98266951797001,,10036,NY,4a64fcc2f964a52022c71fe3,True,5
8,Junior's Restaurant,American Restaurant,1626 Broadway,US,New York,United States,,327,"['1626 Broadway', 'New York, NY 10019', 'United States']","[{'label': 'display', 'lat': 40.760829115440394, 'lng': -73.98442916213794}]",40.760829115440394,-73.98442916213794,,10019,NY,5941b55f3ba7674a46081efd,True,6
10,Ding BBQ and Hot Pot Restaurant,Hotpot Restaurant,234 W 48th St,US,New York,United States,btwn Broadway & 8th Ave,309,"['234 W 48th St (btwn Broadway & 8th Ave)', 'New York, NY 10036', 'United States']","[{'label': 'display', 'lat': 40.76072758809209, 'lng': -73.98618433647417}]",40.76072758809209,-73.98618433647417,,10036,NY,57041d93498eefdff07820df,True,7
11,Chazz Palminteri Italian Restaurant,Italian Restaurant,30 W 46th St,US,New York,United States,,450,"['30 W 46th St', 'New York, NY 10036', 'United States']","[{'label': 'display', 'lat': 40.7564645, 'lng': -73.980563}]",40.7564645,-73.980563,,10036,NY,5638fc92cd10f9db71633582,True,8
12,SOUTHGATE Bar & Restaurant,American Restaurant,154 Central Park S,US,New York,United States,Between 6th & 7th Ave,1091,"['154 Central Park S (Between 6th & 7th Ave)', 'New York, NY 10019', 'United States']","[{'label': 'display', 'lat': 40.766262471766034, 'lng': -73.97853625529478}]",40.766262471766034,-73.97853625529478,,10019,NY,4bf3345798ac0f477aaa62a8,True,9
14,Via Italia Restaurant,Italian Restaurant,45 W 46th St,US,New York,United States,5th & 6th Ave,405,"['45 W 46th St (5th & 6th Ave)', 'New York, NY 10036', 'United States']","[{'label': 'display', 'lat': 40.7568880773974, 'lng': -73.98092299133864}]",40.7568880773974,-73.98092299133864,,10036,NY,4aeccde8f964a5205bcb21e3,True,10
16,Restaurant Triomphe,French Restaurant,49 W 44th St,US,New York,United States,btw 5th & 6th,369,"['49 W 44th St (btw 5th & 6th)', 'New York, NY 10036', 'United States']","[{'label': 'display', 'lat': 40.7557997041259, 'lng': -73.98221547908794}]",40.7557997041259,-73.98221547908794,,10036,NY,45692b08f964a520df3d1fe3,True,11
19,525LEX Restaurant & Lounge,Restaurant,525 Lexington Avenue at 49th Street,US,New York,United States,at New York Marriott East Side,1111,"['525 Lexington Avenue at 49th Street (at New York Marriott East Side)', 'New York, NY 10017', 'United States']","[{'label': 'display', 'lat': 40.75574385545909, 'lng': -73.97266317267866}]",40.75574385545909,-73.97266317267866,,10017,NY,4e39cb96887777123dd78824,True,12
20,Buenavista Restaurant & Bar,Restaurant,536 9th Ave,US,New York,United States,,687,"['536 9th Ave', 'New York, NY 10018', 'United States']","[{'label': 'display', 'lat': 40.75686719, 'lng': -73.99351312}]",40.75686719,-73.99351312,,10018,NY,5bc7c23fa8eb60002c60c349,True,13
21,Patsy's Italian Restaurant,Italian Restaurant,236 W 56th St,US,New York,United States,Broadway,893,"['236 W 56th St (Broadway)', 'New York, NY 10019', 'United States']","[{'label': 'display', 'lat': 40.76576339691694, 'lng': -73.98281550732071}]",40.76576339691694,-73.98281550732071,,10019,NY,4af0e7f3f964a52009e021e3,True,14
24,Tulcingo Del Valle Restaurant,Mexican Restaurant,665 10th Ave (btwn 46th & 47th St),US,New York,United States,,836,"['665 10th Ave (btwn 46th & 47th St)', 'New York, NY 10036', 'United States']","[{'label': 'display', 'lat': 40.76266671008223, 'lng': -73.99327375715725}]",40.76266671008223,-73.99327375715725,,10036,NY,4a2b07a5f964a5208b961fe3,True,15
25,The Garden Restaurant,New American Restaurant,57 E 57th St,US,New York,United States,btwn Park Ave & Madison Ave,1260,"['57 E 57th St (btwn Park Ave & Madison Ave)', 'New York, NY 10022', 'United States']","[{'label': 'display', 'lat': 40.7621879, 'lng': -73.9716063}]",40.7621879,-73.9716063,,10022,NY,5051fae4e889728152d8dfec,True,16
27,Cancun Mexican Restaurant,Mexican Restaurant,937 8th Ave,US,New York,United States,Between 56th & 55th Street,873,"['937 8th Ave (Between 56th & 55th Street)', 'New York, NY 10019', 'United States']","[{'label': 'display', 'lat': 40.765728, 'lng': -73.983699}]",40.765728,-73.983699,,10019,NY,4b79abadf964a520f5092fe3,True,17
